,source_id,ra,dec,l,b,parallax,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,dr2_radial_velocity,dr2_radial_velocity_error,r_med_geo,r_lo_geo,r_hi_geo,cube_id,pmra_deviation,pmdec_deviation
343,5291028181119851776,119.45011997217786,-60.3025422035792,273.38491300875876,-15.675917494415422,61.835996364190315,1481.8264,517.6254838150344,0.07599622,119.2064726447234,0.04162807,15.315975,0.19855325,16.172262,16.16289,16.181892,33,-523.4186684440868,-83.33977132961353
2175,5500061456275483776,91.09015252830848,-55.311490020726126,263.556034275873,-28.57112213114937,33.56005602029813,2387.6023,681.7669083716517,0.016643008,342.1656871852092,0.018089745,42.220497,0.24908964,29.788692,29.776157,29.802898,33,-687.5600930007041,-306.29898587009933
1766,5801950515627094400,260.53587630387005,-75.34927411841784,317.42942794543774,-20.833651258987395,36.19573028114162,2529.3657,-957.8641936607318,0.012682981,-252.78859393874052,0.015353377,60.34284,0.15310417,27.618639,27.607964,27.626114,34,890.4013601836735,251.59734818956815
3258,5788811970149449472,189.18604125717738,-76.95530290210236,302.0775520861324,-14.107934310792997,29.301150358209295,2833.765,-872.0694026852532,0.01106836,-89.64692469120288,0.012551739,-33.44429,0.39755508,34.110134,34.098686,34.121696,34,804.606569208195,88.45567894203053
1247,5918765792061510144,267.73732663816287,-56.60495340644189,336.24427523908537,-14.649538388823848,40.56706109729695,2258.6196,-1058.613305301599,0.018218186,-685.4504667475096,0.016273277,-44.97523,0.4997551,24.63908,24.62922,24.650574,35,1050.9275981413368,537.888695678435
6490,5828338657275373952,248.26879002179712,-63.84308113267643,324.6098926191184,-10.751768428388115,23.26439700773339,1473.5132,-449.2545117151238,0.013279639,-187.6536975066421,0.0149334865,42.477673,0.17923264,42.93781,42.90104,42.966854,35,441.56880455486163,40.09192643756751
40,4177731838628465408,271.2841138366001,-3.032798001841446,24.876471671688034,8.87080689247235,129.21844952774615,5053.7935,569.7350500009994,0.023447536,-332.72570584176094,0.01941244,32.256195,0.1907927,7.7364845,7.734865,7.7381454,36,-564.5627496238791,203.14291450964222
922,4047622985588974848,277.3220045167027,-30.999991247715727,2.7550688471841163,-9.278561716391172,44.77316572617201,2555.6133,456.7001869062466,0.019639352,-256.893473249778,0.015434569,83.16904,6.7253747,22.307703,22.298983,22.316347,36,-451.52788652912625,127.31068191765931
6900,4060934876044428416,264.57953204288845,-27.206111870876153,0.6205223815653075,2.2808514923385186,22.771444515503,1256.6555,-448.60207412415326,0.020239543,-154.806652549891,0.012092376,-46.1014,0.18282685,43.84016,43.803303,43.8681,36,453.7743745012736,25.22386121777228
266,4315804351350378496,291.24577656808344,11.947271123353104,47.37589920945133,-1.8679460354578472,67.01526888035684,1020.6859,721.2921943048541,0.053558353,642.9684532716341,0.058997493,-100.26608,0.15201236,14.912385,14.896926,14.925939,37,-716.1227354601681,-721.3037115959917
