,source_id,ra,dec,l,b,parallax,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,dr2_radial_velocity,dr2_radial_velocity_error,r_med_geo,r_lo_geo,r_hi_geo,cube_id,pmra_deviation,pmdec_deviation
147,5640565607657897728,128.20875984158528,-31.497462976881874,252.26501367621924,4.971555985161912,82.20799300166873,4622.397,-1113.7390982321285,0.013030536,762.4197048630538,0.020226894,14.728065,0.1501858,12.162493,12.159834,12.165183,42,1042.4318226791104,-754.0192600295727
284,5588607120530408832,116.39431122718193,-34.164961809798164,249.1009616432399,-4.80278837369695,65.4543891564485,305.13885,-222.26726543779748,0.20749205,1707.6957515021272,0.25212014,104.61778,0.3415888,15.267639,15.229574,15.3123045,42,150.95998988477936,-1699.2953066686462
132,5866992641380992256,214.76617301528017,-59.38264069990895,313.89018474694336,1.611896701830402,84.60291005524316,3886.4255,-454.967758414664,0.016487727,-810.6092064135089,0.021535266,-18.489256,0.13450749,11.817743,11.814588,11.821284,43,332.1310286497704,749.9785395458671
20,4109034455276324608,259.05329410009625,-26.551146094884785,358.4329906444032,6.749482767438972,167.9616795430231,5408.585,-479.57323273959537,0.031484798,-1124.3316833654421,0.019801429,-0.036989745,0.2227382,5.952772,5.9515905,5.9541893,44,430.9710019365876,964.796015115998
197,5835113573101867520,243.44525038267332,-57.57678559702253,327.4908101984337,-4.699284927051237,73.54824313531948,3999.5337,-854.0397394406546,0.020775883,-1411.4654556946618,0.01741263,8.895606,0.17833827,13.591557,13.588224,13.594515,44,805.4375086376468,1251.9297874452177
2321,5885134136555304320,234.91141139482662,-55.157705724690814,325.43134603595405,0.19010904109748625,32.94391716035455,2442.5815,-173.3469110376219,0.014404786,-1111.4472508087838,0.014703747,196.00227,0.7023397,30.349411,30.338242,30.363659,44,124.74468023461415,951.9115825593396
4640,5942248371137635712,246.0848640862391,-46.7374174651064,336.24806905809214,1.8968098912829232,26.03467652111876,1515.9822,-499.2796892640631,0.01765528,-779.3433544894564,0.012302011,141.08864,1.1038833,38.38245,38.362354,38.406765,44,450.6774584610553,619.8076862400121
7,4330690742322011520,247.57481416249274,-12.66785108081103,3.3468663404745973,23.677060427794277,232.13898083974135,8654.17,-94.20959499441267,0.03089707,-1183.917157588457,0.021104315,-21.605495,0.32632256,4.3068485,4.306446,4.3073435,45,33.86393210349043,1061.8866819203938
86,4364527594192166400,256.26005485188347,-5.071571994790812,15.360616412782683,20.892958560531234,95.56697122169996,3957.7922,-916.34292657201,0.025375895,-1138.7618906254847,0.018682174,34.136364,0.15184894,10.45844,10.456138,10.461031,45,855.9972636810878,1016.7314149574215
87,4364480521350598144,256.3033222371967,-5.099267007481263,15.359530382620331,20.84173999632068,95.5597040061285,4460.606,-917.206570880673,0.023004292,-1132.152574250174,0.016489012,34.43548,0.44409263,10.46,10.457521,10.462472,45,856.8609079897508,1010.1220985821108
383,4381250547575102208,253.2418467851804,-0.033016536706757374,18.36787853767552,26.076938513968706,59.480502943877184,2566.954,-711.8317387758042,0.023335095,-1483.8213661411446,0.019278174,44.68227,0.15247166,16.801447,16.794415,16.805882,45,651.486075884882,1361.7908904730814
41,4550763526539955712,264.4766236517814,18.596087654354623,42.24633672252947,24.294581084076945,122.55460651085501,6975.85,926.6381166366465,0.01580357,984.455172787448,0.018191148,-10.092475,0.2320928,8.157291,8.156166,8.158322,46,-933.2457350417583,-1040.8737010626487
1093,2108544241842459648,276.38260065963726,38.350208781598546,66.23259575548363,21.20180250759858,42.37923508802692,3925.6826,-76.8462141712782,0.011259421,-745.1542019216317,0.01215474,20.927578,0.26295397,23.580069,23.573511,23.585535,46,70.23859576616644,688.735673646431
1157,2090051761936884864,280.22911666351257,31.52936146388496,60.66015771065442,15.858591682571653,41.74509729203885,2531.3315,84.60750163849522,0.017253157,-836.9079321904237,0.017186206,28.501917,0.12810813,23.941246,23.930819,23.95058,46,-91.21512004360699,780.489403915223
15,2261614264931057664,293.09759805108064,69.65345106254792,101.29640987500859,21.871893703413377,173.49391001786597,2319.2231,597.3842379704172,0.115345165,-1738.2861023860867,0.10216282,26.57642,0.1642887,5.763695,5.7607574,5.766001,47,-534.883440121211,1775.7678521623868
31,2195886971653527168,313.3324563031005,62.150957701503515,98.70973518194315,11.088859012809076,142.054284613815,8864.385,0.2591201846900617,0.019442087,-773.0957499352076,0.016410377,-17.587236,0.15510035,7.038707,7.0376396,7.039535,47,62.24167766451604,810.5774997115076
192,283569928616960768,86.45398752483742,62.233278096244746,150.73546428539316,16.641064431898933,74.1187240892331,4112.6353,297.263402945699,0.010858539,-786.5346566444352,0.01194351,-20.634003,0.13899353,13.486312,13.482757,13.489955,48,-257.2824671181895,691.7778771727736
407,876370076542359936,120.13300863259106,29.207176720378527,192.16259496362082,26.94755354106611,58.52996195041519,3031.0723,-169.91821057753526,0.019333614,-1164.9323987340836,0.013437375,14.875667,0.19854262,17.074844,17.068935,17.080467,49,150.420971350398,1024.7740539151796
567,887822001246832384,105.87771196960249,29.33340231275945,187.44139279605778,15.32150538864651,52.771176020747866,1203.4574,156.6227877267507,0.054192,-827.8002461177721,0.05231791,24.67607,0.18751675,18.938597,18.922327,18.952272,49,-176.12002695388796,687.6419012988681
1703,880495478530513920,118.39165275381612,30.59691391215582,190.17438916792977,25.92743629347698,36.566620528819186,1522.7843,706.6709901290797,0.023387002,-1835.3940444413206,0.015198396,-234.3216,0.22987542,27.32354,27.308998,27.340889,49,-726.1682293562169,1695.2356996224166
153,5726982995343100928,124.60104883936589,-12.63656179358332,234.5678968456738,12.822466912686055,79.49527095617434,1985.422,278.7903645043099,0.038823973,-987.8286619313131,0.03491762,30.289747,0.14995249,12.5750675,12.569134,12.580436,50,-314.9712919724255,880.2158092265094
253,672091364541849344,117.07514854485704,20.363715703599137,200.23719061711785,21.319596579930863,68.03336375534937,3047.1309,1450.0374715502585,0.02375046,-992.054978382924,0.017634124,53.433094,0.9906812,14.689325,14.68406,14.6940775,50,-1486.2183990183742,884.4421256781202
8901,3038445240276115200,123.37010161784357,-9.470885670911093,231.14822238633678,13.447478572879564,20.945565320748702,1352.2125,939.0453178322749,0.018617604,-1167.6080531808493,0.014332399,142.352,2.4389834,47.635212,47.599506,47.668785,50,-975.2262453003905,1059.9952004760455
